Crop,N,P,K,temperature,ph,soil_humidity,air_humidity,light_intensity,light_duration,co2,o2
rice,82,42,43,20.87974371,6.502985292,52.60886987741050,82.00274423,465.9610390549570,17.78587947628640,55.88510825146940,57.957139409749400
rice,95,58,41,21.77046169,7.038096361,7.199985761359030,80.31964408,596.8862227604250,0.23665398264338900,117.73456932544100,62.483515470209700
rice,76,55,44,23.00445915,7.840207144,47.26019539095970,82.3207629,32.0533152902418,21.608927525770200,72.93973754753730,69.91467110348870
rice,82,35,40,26.49109635,6.980400905,49.95743632997340,80.15836264,842.2391578262440,19.782626248030900,152.61256768390400,83.45953960363120
rice,95,42,42,20.13017482,7.628472891,59.79964686582160,81.60487287,666.2977819732930,22.801466232065700,23.756752351629300,28.265226175909200
rice,87,37,42,23.05804872,7.073453503,31.863423434786100,83.37011772,656.9805474198620,17.321598311919400,59.50097372967660,89.74683120486490
rice,35,55,38,22.70883798,5.70080568,32.11740529761680,82.63941394,725.1880065994380,8.209229852839050,88.67206301188210,27.959711151472400
rice,28,53,40,20.27774362,5.718627178,23.75835913300140,82.89408619,896.973624734896,5.04012806864694,109.77348163574300,36.91914517524330
rice,46,54,38,24.51588066,6.685346424,37.25497488506470,83.5352163,330.00213314641800,15.339483038470000,82.53195708431800,57.604223644429800
rice,13,58,38,23.22397386,6.336253525,47.133413012299800,83.03322691,431.8420068244610,6.817300656312500,134.5350144710800,97.859567635785
rice,53,53,40,26.52723513,5.386167788,21.61445731024320,81.41753846,637.8161414705150,20.493078324415300,15.409693203807300,10.42220919150700
rice,78,46,42,23.97898217,7.50283396,72.42354331663820,81.45061596,870.2069414710100,12.58571343754910,62.312406607421100,8.486222524693250
rice,20,58,44,26.80079604,5.108681786,35.24885993589650,80.88684822,459.2732889581270,19.692868822318600,137.65691295781300,81.17773687091400
rice,20,56,36,24.01497622,6.98435366,88.58413472459290,82.05687182,52.54973452504400,1.263562579591730,187.4971800780940,44.32649089875890
rice,54,50,37,25.66585205,6.94801983,97.69326317335580,80.66385045,87.14504373699940,18.670055913285800,8.534538463008730,33.612812771962100
rice,29,48,39,24.28209415,7.042299069,55.48629577321910,80.30025587,123.64307504967100,7.709585591710600,76.47903769221520,82.75834496849530
rice,52,38,41,21.58711777,6.249050656,33.21086810356510,82.7883708,966.9414504396980,10.106192724503200,176.1994322734070,80.73678090099590
rice,32,35,39,23.79391957,6.970859754,72.32880168690060,80.41817957,325.6253837928000,10.210121394614200,102.66882224209400,6.003292022222180
rice,52,38,36,21.8652524,5.953933276,40.28900712420140,80.1923008,984.4347130338730,2.4715371904921100,73.93703914414990,61.09644298629670
rice,11,35,40,23.57943626,5.85393208,15.51336869857200,83.58760316,175.79596302237200,8.963598929113520,85.03086010897930,21.798343908901900
rice,16,45,36,21.32504158,6.442475375,17.9565064231756,80.47476396,844.7591466888550,6.3121128869427200,152.11211756961900,49.198731783087400
rice,42,40,43,25.15745531,5.070175667,48.66051532211990,83.11713476,538.124853502051,20.257274688975100,108.7864126406530,3.2794901140261800
